Chine,Etats-Unis,Asie Pacifique,Inde,Union européenne,Afrique,Moyen-Orient,Russie,Europe,Amerique Latine et Caraïbes,Japon,Indonésie,Brésil,Mexique,Australie,Canada
Chine,11724968630495.914,422649094101.7156,637863115767.2983,102958744818.78046,254219547494.88535,98917147664.36026,158487781721.64722,38538969522.772964,85317566527.73541,96858332658.5297,116842619866.42642,34216453877.124306,39073410787.21851,24542172761.167545,31309822006.00286,41655090615.65683
Etats-Unis,87502711364.3081,4357353011371.548,92360641553.8216,23792452007.212498,97109831780.92986,17405538110.522064,33347555335.52132,5194851996.645946,33768735938.07783,74092903858.45381,40317930362.09365,4674861760.588507,20108105003.26824,63972118796.095894,6391104806.403485,70382685963.78226
Asie Pacifique,592880904478.5691,290427992976.65326,2530915670583.708,113578688097.42043,326915169870.2133,99005145401.76274,112926453867.08813,52748004726.41122,113741179622.84348,48991652717.57001,146197469909.08493,80312973463.06204,18246093126.272915,13811920185.426054,74114509629.35452,26179177103.15
Inde,52810007795.69037,85175610932.24327,132407305332.33298,3613719247713.828,82450736996.03749,44343837415.8296,108340912488.9937,6858289711.872528,31042095979.01767,14885767305.619267,12360430594.021364,11326895677.521454,6990345194.575343,5100567922.5411005,6596916252.750668,7268872168.921997
Union européenne,98852228776.95082,136890490820.91022,90809894049.64168,24295184820.875954,2916672557970.554,64848865666.1853,75048633223.54103,34548555267.18238,207943049567.7484,28896547983.936176,25032806394.910885,6152704118.00402,17686317113.085712,11183012140.18732,11847839499.886082,19521012414.22658
Afrique,98924872579.78346,71446179764.56735,67010504325.32564,61912489201.404785,191957596191.11066,2210418611246.402,79944821513.63498,8026746532.742847,42684752299.253525,12168684359.843674,12130658379.41436,7103953843.488338,12340848805.025421,4860922130.908441,6342285843.07166,7227785996.133377
Moyen-Orient,242275570612.04526,165319497340.90622,210530896405.40338,126718896162.06084,170896546459.02914,87294351494.19763,1595254268057.7449,14331406888.626707,67072690576.888985,19744548256.51481,89288543541.67177,17084922944.442299,12207314467.455868,7790332613.031694,15494093790.045626,12304629678.021824
Russie,162074791109.25403,56265360460.243614,145447967855.28375,23092549062.20656,296222707997.94495,31839613219.092167,41614869321.82708,1355984611656.3875,152761124738.32394,16167564513.570177,25749078721.760098,5040295825.583105,6954968537.739368,4285300260.728951,4448559459.451947,6192347698.176208
Europe,35480586902.1229,52874262051.60467,45730201709.23412,11780050045.170969,186911685965.17313,37246646815.00108,66816774508.143486,46772454439.18714,1062804824453.113,12309736258.940939,8354256502.149008,3637459256.368716,5057685492.647635,3137436673.053261,5330506271.712515,7045755845.926729
Amerique Latine et Caraïbes,124038625424.59914,122782137638.99535,45259742981.64203,22292481217.333435,66244946787.95478,16015738373.372162,26539064725.596855,18356392737.862137,32700836036.473244,876153892055.2991,10832791740.667803,2615813194.5902414,33911461733.27772,12373664479.228456,2323304790.0294213,8342482811.865952
Japon,80680381973.59251,48982073121.101425,79632607520.16792,11748871358.696316,25091551834.926487,5243216977.047524,13184116051.47871,3061126931.6237497,8546010387.740593,6380186351.809581,940798219369.2024,5283478176.422624,2647604738.985114,2759285030.4232836,4014773941.1130786,4123827658.637224
Indonésie,68916085253.70596,27611393112.10054,86931210394.80441,37452846273.778625,19613555495.820484,7132813213.974803,11473781539.493395,2588859639.677683,6165346448.917576,4225441994.6140337,14124147299.830183,849047816636.0927,2019869246.8348827,1346042213.746613,3828672559.009987,2186748170.06992
Brésil,84990425061.99301,33631262236.076874,43327534352.66325,5989045744.567196,26341652109.909306,9828057196.872797,46010094655.60416,2133576086.595609,15707824285.290808,42752619658.52533,5127271107.669264,1614320748.1984313,811219742489.7013,2735005938.154614,1064873634.0613239,3423859105.6186748
Mexique,9436582023.509212,139327197273.20792,11488199140.28651,4795011476.3533,14947400827.08454,2370527718.577152,3078393738.457815,593527483.2789328,3497649498.010959,17614904529.830795,6878954047.925824,406652968.34090686,3041382192.169602,520797549500.6872,719015411.7084541,6713116516.533239
Australie,85005623131.47786,25642423384.29507,59240673614.145615,24840100138.05655,22351107540.35756,5175448778.834396,13422335662.31749,2668362209.882908,8127636778.205543,3563581665.900097,28574707489.877304,13343146665.515646,2052250969.0989485,1238661320.5859263,432779766332.3245,2587963605.6659613
Canada,28835971382.846657,232602952330.18005,14590059588.620428,3791885642.4220753,20579746935.372517,4076412658.328889,4991859139.7511635,968357631.2004781,6873728195.110609,15361970879.23962,8116778389.191394,1020018746.3762939,3588392697.710138,11442057783.628685,1014478999.0515215,324628796349.9444
