,Région,Pays,Continent
0,Chine,République populaire de Chine,Asie
1,États-Unis,États-Unis d'Amérique,Amérique
2,Inde,République de l'Inde,Asie
3,Union européenne,"[""République d'Autriche"", 'Royaume de Belgique', 'République de Bulgarie', 'République tchèque', ""République fédérale d'Allemagne"", 'Royaume de Danemark', ""République d'Estonie"", ""Royaume d'Espagne"", 'République de Finlande', 'République française', 'République hellénique', 'République de Croatie', 'République de Hongrie', 'Irlande', 'République italienne', 'République de Lituanie', 'Grand-Duché de Luxembourg', 'République de Lettonie', 'République de Malte', 'Royaume des Pays-Bas', 'Royaume de Norvège', 'République de Pologne', 'République portugaise', 'Roumanie', 'Royaume de Suède', 'République de Slovénie', 'République slovaque']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']"
4,Asie-Pacifique,"[""République islamique d'Afghanistan"", 'Samoa américaines', 'Antarctique', ""République d'Arménie"", ""République d'Azerbaïdjan"", 'République populaire du Bangladesh', 'Royaume du Bhoutan', 'Île Bouvet', ""Territoire britannique de l'océan Indien"", 'Nation de Brunei', 'Demeure de la Paix', 'Royaume du Cambodge', 'République de Chine', 'Île Christmas', 'Territoire des Îles Cocos (Keeling)', 'Îles Cook', 'République des Fidji', 'Polynésie française', 'Géorgie', 'Guam', 'Territoire des îles Heard-et-MacDonald', 'Hong Kong RAS', 'République du Kazakhstan', 'République de Kiribati', 'République de Corée', 'République kirghize', 'République démocratique populaire lao', 'Macau RAS', 'Malaisie', 'République des Maldives', 'République des Îles Marshall', 'États fédérés de Micronésie', 'Mongolie', ""République de l'Union du Myanmar"", 'République de Nauru', 'République fédérale démocratique du Népal', 'Nouvelle-Calédonie', 'Nouvelle-Zélande', 'Niue', 'Île Norfolk', 'République populaire démocratique de Corée', 'Îles Mariannes du Nord', 'République islamique du Pakistan', 'République de Palau', 'État indépendant de Papouasie-Nouvelle-Guinée', 'République des Philippines', 'Pitcairn', 'État indépendant des Samoa', 'République de Singapour', 'Îles Salomon', 'Géorgie du Sud-et-les Îles Sandwich du Sud', 'République socialiste démocratique de Sri Lanka', 'République du Tadjikistan', 'Royaume de Thaïlande', 'République démocratique du Timor oriental', 'Tokelau', 'Royaume des Tonga', 'Turkménistan', 'Tuvalu', 'Îles mineures éloignées des États-Unis', ""République d'Ouzbékistan"", 'République de Vanuatu', 'République socialiste du Viêt Nam', 'Îles Wallis-et-Futuna']","['Asie', 'Océanie', 'Antarctique', 'Asie', 'Asie', 'Asie', 'Asie', 'Antarctique', 'Afrique', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Océanie', 'Océanie', 'Océanie', 'Asie', 'Océanie', 'Antarctique', 'Asie', 'Asie', 'Océanie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Océanie', 'Océanie', 'Asie', 'Asie', 'Océanie', 'Asie', 'Océanie', 'Océanie', 'Océanie', 'Océanie', 'Asie', 'Océanie', 'Asie', 'Océanie', 'Océanie', 'Asie', 'Océanie', 'Océanie', 'Asie', 'Océanie', 'Antarctique', 'Asie', 'Asie', 'Asie', 'Asie', 'Océanie', 'Océanie', 'Asie', 'Océanie', 'Océanie', 'Asie', 'Océanie', 'Asie', 'Océanie']"
5,Afrique,"[""République Démocratique Populaire d'Algérie"", ""République d'Angola"", 'République du Bénin', 'République du Botswana', 'Burkina Faso', 'République du Burundi', 'République du Cabo Verde', 'République du Cameroun', 'République Centrafricaine', 'République du Tchad', 'Union des Comores', 'République du Congo', ""République de Côte d'Ivoire"", 'République de Djibouti', 'République Démocratique du Congo', 'République de Guinée Équatoriale', ""État d'Érythrée"", ""Royaume d'Eswatini"", ""République Fédérale Démocratique d'Éthiopie"", 'Territoire des Terres australes et antarctiques françaises', 'République Gabonaise', 'République de Gambie', 'République du Ghana', 'République de Guinée', 'République de Guinée-Bissau', 'République du Kenya', 'Royaume du Lesotho', 'République du Libéria', 'État de Libye', 'République de Madagascar', 'République du Malawi', 'République du Mali', 'République Islamique de Mauritanie', 'République de Maurice', 'Mayotte', 'Royaume du Maroc', 'République du Mozambique', 'République de Namibie', 'République du Niger', 'République Fédérale du Nigeria', 'Réunion', 'République du Rwanda', 'République Démocratique de Sao Tomé et Príncipe', 'République du Sénégal', 'République des Seychelles', 'République de Sierra Leone', 'République Fédérale de Somalie', ""République d'Afrique du Sud"", 'République du Soudan du Sud', 'Sainte-Hélène, Ascension et Tristan da Cunha', 'République du Soudan', 'République Unie de Tanzanie', 'République Togolaise', 'République de Tunisie', ""République d'Ouganda"", 'Sahara Occidental', 'République de Zambie', 'République du Zimbabwe']","['Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique', 'Afrique']"
6,Moyen-Orient,"['Royaume de Bahreïn', 'République de Chypre', ""République arabe d'Égypte"", ""République islamique d'Iran"", ""République d'Irak"", ""État d'Israël"", 'Royaume hachémite de Jordanie', 'État du Koweït', 'République libanaise', ""Sultanat d'Oman"", 'État de Palestine', 'État du Qatar', ""Royaume d'Arabie saoudite"", 'République arabe syrienne', 'Émirats arabes unis', 'République du Yémen']","['Asie', 'Europe', 'Afrique', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie', 'Asie']"
7,Russie,Russie,Europe
8,Europe,"['Îles Åland', ""République d'Albanie"", ""Principauté d'Andorre"", 'République de Biélorussie', 'Bosnie-Herzégovine', 'Îles Féroé', 'Gibraltar', 'Guernesey', ""République d'Islande"", 'Île de Man', 'Jersey', 'République du Kosovo', 'Principauté de Liechtenstein', 'République de Macédoine du Nord', 'République de Moldavie', 'Principauté de Monaco', 'Monténégro', 'République de Saint-Marin', 'République de Serbie', 'Confédération suisse', 'Îles Svalbard et Jan Mayen', 'République de Turquie', 'Ukraine', ""Royaume-Uni de Grande-Bretagne et d'Irlande du Nord"", 'État de la Cité du Vatican']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']"
9,Japon,Japon,Asie
10,Amérique Latine et Caraïbes,"['Anguilla', 'Antigua-et-Barbuda', 'République argentine', 'Aruba', 'Commonwealth des Bahamas', 'Barbade', 'Belize', 'Bermudes', 'État plurinational de Bolivie', 'Bonaire', 'Saint-Eustache et Saba', 'Îles Vierges britanniques', 'Îles Caïmans', 'République du Chili', 'République de Colombie', 'République du Costa Rica', 'République de Cuba', 'Pays de Curaçao', 'Commonwealth de la Dominique', 'République dominicaine', ""République de l'Équateur"", 'République du Salvador', 'Îles Falkland (Malvinas)', 'Guyane', 'Groenland', 'Grenade', 'Guadeloupe', 'République du Guatemala', 'République coopérative du Guyana', ""République d'Haïti"", 'République du Honduras', 'Jamaïque', 'Martinique', 'Montserrat', 'République du Nicaragua', 'République du Panama', 'République du Paraguay', 'République du Pérou', 'Porto Rico', 'Saint-Martin (partie française)', 'Sint Maarten (partie néerlandaise)', 'Collectivité territoriale de Saint-Barthélemy', 'Saint-Christophe-et-Niévès', 'Sainte-Lucie', 'Saint-Pierre-et-Miquelon', 'Saint-Vincent-et-les-Grenadines', 'République du Suriname', 'République de Trinité-et-Tobago', 'Îles Turques-et-Caïques', 'Îles Vierges des États-Unis', ""République orientale de l'Uruguay"", 'République bolivarienne du Venezuela']","['Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique', 'Amérique']"
11,Indonésie,République d'Indonésie,Asie
12,Brésil,République fédérative du Brésil,Amérique
13,Mexique,États-Unis mexicains,Amérique
14,Australie,Commonwealth d'Australie,Océanie
15,Canada,Canada,Amérique
